name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,26.0,20.0,0.5,6.926470588235294
mid-american,False,16.0,35.0,0.25,6.926470588235294
sec,True,45.0,6.0,1.0,6.926470588235294
sun belt,False,26.0,28.0,0.5,6.926470588235294
big 12,True,37.0,9.0,0.6666666666666666,6.926470588235294
american athletic,False,31.0,16.0,0.5,6.926470588235294
acc,True,37.0,18.0,1.0,6.926470588235294
conference usa,False,18.0,25.0,0.6666666666666666,6.926470588235294
big ten,True,44.0,10.0,0.6666666666666666,6.926470588235294
fbs independents,False,10.0,4.0,0.7142857142857143,6.926470588235294
pac-12,False,4.0,11.0,0.42857142857142855,6.926470588235294
