name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,25.0,24.0,0.75,12.0
mid-american,False,20.0,28.0,0.25,12.0
sec,True,45.0,11.0,0.5,12.0
sun belt,False,34.0,22.0,0.5,12.0
pac-12,False,29.0,7.0,1.0,12.0
fbs independents,False,18.0,25.0,0.18181818181818182,12.0
big 12,True,30.0,12.0,0.6666666666666666,12.0
acc,True,39.0,17.0,0.75,12.0
american athletic,False,24.0,31.0,0.25,12.0
conference usa,False,18.0,19.0,0.5,12.0
big ten,True,33.0,9.0,0.6666666666666666,12.0
