name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,26.0,22.0,0.5,11.985294117647058
mid-american,False,16.0,36.0,0.25,11.985294117647058
sec,True,56.0,8.0,1.0,11.985294117647058
sun belt,False,27.0,29.0,0.5,11.985294117647058
big 12,True,37.0,9.0,0.6666666666666666,11.985294117647058
american athletic,False,34.0,20.0,0.5,11.985294117647058
acc,True,41.0,25.0,1.0,11.985294117647058
conference usa,False,19.0,29.0,0.5,11.985294117647058
big ten,True,44.0,10.0,0.6666666666666666,11.985294117647058
fbs independents,False,19.0,5.0,0.75,11.985294117647058
pac-12,False,6.0,14.0,0.5,11.985294117647058
