name,p5,cvc_wins,cvc_losses,cvc_perc,conf_index
sec,True,37.0,8.0,0.8222222222222222,
big ten,True,33.0,9.0,0.7857142857142857,
acc,True,36.0,14.0,0.72,
big 12,True,30.0,12.0,0.7142857142857143,
pac-12,False,29.0,6.0,0.8285714285714286,
sun belt,False,33.0,17.0,0.66,
mountain west,False,25.0,24.0,0.5102040816326531,
conference usa,False,15.0,18.0,0.45454545454545453,
american athletic,False,24.0,31.0,0.43636363636363634,
mid-american,False,20.0,28.0,0.4166666666666667,
fbs independents,False,13.0,23.0,0.3611111111111111,
