name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,28.0,33.0,0.2,12.111940298507463
mid-american,False,20.0,28.0,0.25,12.111940298507463
sec,True,55.0,9.0,0.75,12.111940298507463
sun belt,False,28.0,27.0,0.5,12.111940298507463
big 12,True,33.0,11.0,0.3333333333333333,12.111940298507463
american athletic,False,27.0,27.0,0.5,12.111940298507463
acc,True,47.0,21.0,0.5,12.111940298507463
conference usa,False,13.0,26.0,0.5,12.111940298507463
big ten,True,43.0,11.0,0.6666666666666666,12.111940298507463
fbs independents,False,20.0,14.0,0.6363636363636364,12.111940298507463
pac-12,False,12.0,10.0,0.7272727272727273,12.111940298507463
