name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,25.0,32.0,0.0,10.977611940298507
mid-american,False,20.0,28.0,0.25,10.977611940298507
sec,True,52.0,8.0,0.75,10.977611940298507
sun belt,False,28.0,27.0,0.5,10.977611940298507
big 12,True,33.0,11.0,0.3333333333333333,10.977611940298507
american athletic,False,27.0,27.0,0.5,10.977611940298507
acc,True,46.0,17.0,0.5,10.977611940298507
conference usa,False,13.0,26.0,0.5,10.977611940298507
big ten,True,42.0,10.0,0.6666666666666666,10.977611940298507
fbs independents,False,19.0,14.0,0.6363636363636364,10.977611940298507
pac-12,False,12.0,8.0,0.8,10.977611940298507
