name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,28.0,28.0,0.8,12.601503759398497
mid-american,False,22.0,32.0,0.25,12.601503759398497
sec,True,50.0,15.0,0.5,12.601503759398497
sun belt,False,39.0,29.0,0.5,12.601503759398497
pac-12,False,34.0,11.0,1.0,12.601503759398497
fbs independents,False,10.0,22.0,0.18181818181818182,12.601503759398497
big 12,True,35.0,16.0,0.75,12.601503759398497
acc,True,44.0,23.0,0.75,12.601503759398497
american athletic,False,27.0,35.0,0.4,12.601503759398497
conference usa,False,20.0,21.0,0.6,12.601503759398497
big ten,True,36.0,12.0,0.5,12.601503759398497
